# Generated from meridian-design's topic registry. Do not edit.
#
# Who publishes and who subscribes, which is what decides a component's broker
# permissions. Regenerate from meridian-design with `make component-topics`.
topic	kind	publisher	subscriber
platform.custody.*.event.sync-status	event	custody	admin
platform.deployment.event.component-report	event	street	conductor
platform.reference.event.instrument-applied	event	reference	street,admin
platform.reference.event.instrument-missing	event	custody	reference
platform.reference.event.instrument-pulled	event	conductor	reference
platform.reference.query.resolve-identifier	query	custody	reference
platform.reference.query.resolve-instrument	query	street	reference
platform.street.command.record-holding	command	custody	street
platform.street.command.record-statement	command	custody	street
platform.street.event.custodial-position-updated	event	street	admin
platform.street.event.statement-recorded	event	street	admin
platform.street.query.list-custodial-positions	query	admin	street
